[0.04736411],[0.06433639],[0.12527747]
[0.04766341],[0.06473351],[0.12502971]
[0.04796239],[0.06513007],[0.12478258]
[0.04826105],[0.06552608],[0.12453609]
[0.04855939],[0.06592153],[0.12429023]
[0.04885741],[0.06631643],[0.12404499]
[0.04915511],[0.06671078],[0.12380039]
[0.0494525],[0.06710458],[0.1235564]
[0.04974956],[0.06749783],[0.12331305]
[0.05004631],[0.06789053],[0.12307031]
[0.05034275],[0.06828268],[0.12282819]
[0.05063886],[0.06867428],[0.12258669]
[0.05093466],[0.06906533],[0.12234581]
[0.05123014],[0.06945583],[0.12210555]
[0.05152531],[0.06984579],[0.1218659]
[0.05182016],[0.07023521],[0.12162686]
[0.0521147],[0.07062408],[0.12138843]
[0.05240892],[0.0710124],[0.12115061]
[0.05270283],[0.07140018],[0.1209134]
[0.05299643],[0.07178742],[0.12067679]
[0.05328971],[0.07217412],[0.12044079]
[0.05358268],[0.07256027],[0.12020539]
[0.05387534],[0.07294589],[0.1199706]
[0.05416769],[0.07333096],[0.1197364]
[0.05445972],[0.0737155],[0.1195028]
[0.05475145],[0.07409949],[0.11926979]
[0.05504286],[0.07448295],[0.11903739]
[0.05533396],[0.07486587],[0.11880557]
[0.05562476],[0.07524826],[0.11857435]
[0.05591524],[0.07563011],[0.11834372]
[0.05620542],[0.07601142],[0.11811367]
[0.05649528],[0.07639221],[0.11788422]
[0.05678484],[0.07677245],[0.11765535]
[0.05707409],[0.07715217],[0.11742706]
[0.05736303],[0.07753135],[0.11719936]
[0.05765167],[0.07791],[0.11697224]
[0.05794],[0.07828812],[0.1167457]
[0.05822802],[0.07866571],[0.11651973]
[0.05851574],[0.07904277],[0.11629434]
[0.05880315],[0.0794193],[0.11606953]
[0.05909026],[0.0797953],[0.1158453]
[0.05937706],[0.08017078],[0.11562163]
[0.05966356],[0.08054573],[0.11539854]
[0.05994975],[0.08092015],[0.11517601]
[0.06023564],[0.08129405],[0.11495405]
[0.06052123],[0.08166742],[0.11473266]
[0.06080651],[0.08204027],[0.11451183]
[0.06109149],[0.08241259],[0.11429157]
[0.06137617],[0.0827844],[0.11407187]
[0.06166055],[0.08315568],[0.11385273]
[0.06194463],[0.08352644],[0.11363415]
[0.0622284],[0.08389668],[0.11341613]
[0.06251188],[0.0842664],[0.11319866]
[0.06279506],[0.0846356],[0.11298174]
[0.06307793],[0.08500428],[0.11276539]
[0.06336051],[0.08537245],[0.11254958]
[0.06364279],[0.08574009],[0.11233432]
[0.06392477],[0.08610722],[0.11211961]
[0.06420645],[0.08647384],[0.11190545]
[0.06448783],[0.08683994],[0.11169184]
[0.06476892],[0.08720552],[0.11147877]
[0.06504971],[0.0875706],[0.11126624]
[0.0653302],[0.08793515],[0.11105426]
[0.0656104],[0.0882992],[0.11084281]
[0.0658903],[0.08866273],[0.11063191]
[0.0661699],[0.08902576],[0.11042154]
[0.06644922],[0.08938827],[0.11021171]
[0.06672823],[0.08975027],[0.11000241]
[0.06700695],[0.09011177],[0.10979365]
[0.06728538],[0.09047275],[0.10958542]
[0.06756351],[0.09083323],[0.10937772]
[0.06784135],[0.0911932],[0.10917055]
[0.0681189],[0.09155266],[0.10896391]
[0.06839616],[0.09191162],[0.10875779]
[0.06867312],[0.09227007],[0.1085522]
[0.06894979],[0.09262802],[0.10834713]
[0.06922617],[0.09298547],[0.10814259]
[0.06950226],[0.09334241],[0.10793857]
[0.06977806],[0.09369885],[0.10773506]
[0.07005357],[0.09405479],[0.10753208]
[0.07032879],[0.09441022],[0.10732961]
[0.07060372],[0.09476516],[0.10712766]
[0.07087836],[0.09511959],[0.10692622]
[0.07115271],[0.09547353],[0.1067253]
[0.07142677],[0.09582697],[0.10652489]
[0.07170055],[0.09617991],[0.10632499]
[0.07197404],[0.09653235],[0.10612559]
[0.07224724],[0.09688429],[0.10592671]
[0.07252015],[0.09723574],[0.10572833]
[0.07279278],[0.0975867],[0.10553046]
[0.07306512],[0.09793716],[0.10533309]
[0.07333718],[0.09828712],[0.10513622]
[0.07360895],[0.0986366],[0.10493986]
[0.07388043],[0.09898558],[0.10474399]
[0.07415163],[0.09933406],[0.10454863]
[0.07442255],[0.09968206],[0.10435376]
[0.07469318],[0.10002957],[0.10415939]
[0.07496353],[0.10037658],[0.10396551]
[0.07523359],[0.10072311],[0.10377212]
[0.07550338],[0.10106914],[0.10357923]
[0.07577288],[0.10141469],[0.10338683]
[0.07604209],[0.10175975],[0.10319492]
[0.07631103],[0.10210433],[0.10300349]
[0.07657969],[0.10244841],[0.10281256]
[0.07684806],[0.10279201],[0.10262211]
[0.07711615],[0.10313513],[0.10243214]
[0.07738397],[0.10347776],[0.10224266]
[0.0776515],[0.10381991],[0.10205366]
[0.07791875],[0.10416158],[0.10186514]
[0.07818573],[0.10450276],[0.1016771]
[0.07845242],[0.10484346],[0.10148954]
[0.07871884],[0.10518368],[0.10130246]
[0.07898498],[0.10552342],[0.10111585]
[0.07925084],[0.10586267],[0.10092971]
[0.07951642],[0.10620145],[0.10074405]
[0.07978173],[0.10653975],[0.10055887]
[0.08004676],[0.10687758],[0.10037415]
[0.08031151],[0.10721492],[0.1001899]
[0.08057599],[0.10755179],[0.10000612]
[0.08084019],[0.10788818],[0.09982281]
[0.08110412],[0.10822409],[0.09963997]
[0.08136777],[0.10855954],[0.09945759]
[0.08163114],[0.1088945],[0.09927567]
[0.08189425],[0.10922899],[0.09909422]
[0.08215707],[0.10956301],[0.09891322]
[0.08241963],[0.10989656],[0.09873269]
[0.08268191],[0.11022963],[0.09855262]
[0.08294392],[0.11056224],[0.098373]
[0.08320566],[0.11089437],[0.09819384]
[0.08346712],[0.11122603],[0.09801514]
[0.08372831],[0.11155722],[0.09783689]
[0.08398923],[0.11188795],[0.09765909]
[0.08424988],[0.1122182],[0.09748175]
[0.08451026],[0.11254799],[0.09730485]
[0.08477037],[0.11287731],[0.09712841]
[0.08503021],[0.11320617],[0.09695241]
[0.08528978],[0.11353455],[0.09677686]
[0.08554908],[0.11386248],[0.09660176]
[0.08580811],[0.11418994],[0.0964271]
[0.08606687],[0.11451693],[0.09625288]
[0.08632536],[0.11484346],[0.09607911]
[0.08658359],[0.11516953],[0.09590578]
[0.08684155],[0.11549514],[0.09573289]
[0.08709924],[0.11582028],[0.09556044]
[0.08735666],[0.11614496],[0.09538842]
[0.08761382],[0.11646919],[0.09521684]
[0.08787071],[0.11679295],[0.0950457]
[0.08812733],[0.11711625],[0.094875]
[0.08838369],[0.1174391],[0.09470472]
[0.08863979],[0.11776149],[0.09453488]
[0.08889562],[0.11808342],[0.09436547]
[0.08915118],[0.11840489],[0.09419649]
[0.08940648],[0.11872591],[0.09402794]
[0.08966152],[0.11904647],[0.09385982]
[0.08991629],[0.11936657],[0.09369212]
[0.0901708],[0.11968623],[0.09352485]
[0.09042504],[0.12000542],[0.093358]
[0.09067903],[0.12032417],[0.09319158]
[0.09093275],[0.12064246],[0.09302558]
[0.09118621],[0.1209603],[0.09286]
[0.09143941],[0.12127769],[0.09269484]
[0.09169235],[0.12159463],[0.0925301]
[0.09194502],[0.12191112],[0.09236578]
[0.09219744],[0.12222715],[0.09220187]
[0.09244959],[0.12254274],[0.09203838]
[0.09270149],[0.12285788],[0.09187531]
[0.09295312],[0.12317257],[0.09171265]
[0.0932045],[0.12348682],[0.0915504]
[0.09345562],[0.12380062],[0.09138856]
[0.09370648],[0.12411397],[0.09122713]
[0.09395708],[0.12442688],[0.09106612]
[0.09420742],[0.12473934],[0.09090551]
[0.09445751],[0.12505135],[0.0907453]
[0.09470734],[0.12536293],[0.09058551]
[0.09495691],[0.12567406],[0.09042612]
[0.09520622],[0.12598474],[0.09026713]
[0.09545528],[0.12629499],[0.09010855]
[0.09570408],[0.12660479],[0.08995037]
[0.09595263],[0.12691415],[0.08979259]
[0.09620092],[0.12722307],[0.0896352]
[0.09644896],[0.12753156],[0.08947822]
[0.09669674],[0.1278396],[0.08932164]
[0.09694427],[0.1281472],[0.08916545]
[0.09719154],[0.12845437],[0.08900966]
[0.09743857],[0.1287611],[0.08885426]
[0.09768533],[0.12906739],[0.08869926]
[0.09793185],[0.12937324],[0.08854465]
[0.09817811],[0.12967866],[0.08839043]
[0.09842412],[0.12998365],[0.0882366]
[0.09866987],[0.1302882],[0.08808316]
[0.09891538],[0.13059231],[0.08793011]
[0.09916063],[0.13089599],[0.08777745]
[0.09940564],[0.13119924],[0.08762518]
[0.09965039],[0.13150206],[0.08747329]
[0.09989489],[0.13180444],[0.08732178]
[0.10013914],[0.1321064],[0.08717066]
[0.10038315],[0.13240792],[0.08701992]
[0.1006269],[0.13270901],[0.08686956]
[0.1008704],[0.13300967],[0.08671959]
[0.10111366],[0.13330991],[0.08656999]
[0.10135666],[0.13360971],[0.08642077]
[0.10159942],[0.13390909],[0.08627193]
[0.10184193],[0.13420804],[0.08612347]
[0.1020842],[0.13450656],[0.08597538]
[0.10232621],[0.13480466],[0.08582766]
[0.10256798],[0.13510233],[0.08568032]
[0.1028095],[0.13539957],[0.08553336]
[0.10305078],[0.13569639],[0.08538676]
[0.10329181],[0.13599279],[0.08524054]
[0.10353259],[0.13628877],[0.08509468]
[0.10377313],[0.13658432],[0.0849492]
[0.10401342],[0.13687944],[0.08480408]
[0.10425347],[0.13717415],[0.08465933]
[0.10449328],[0.13746844],[0.08451495]
[0.10473284],[0.1377623],[0.08437093]
[0.10497216],[0.13805575],[0.08422727]
[0.10521123],[0.13834877],[0.08408398]
[0.10545006],[0.13864138],[0.08394105]
[0.10568865],[0.13893356],[0.08379848]
[0.10592699],[0.13922533],[0.08365628]
[0.1061651],[0.13951668],[0.08351443]
[0.10640296],[0.13980762],[0.08337294]
[0.10664058],[0.14009814],[0.08323181]
[0.10687796],[0.14038824],[0.08309103]
[0.10711509],[0.14067793],[0.08295061]
[0.10735199],[0.1409672],[0.08281055]
[0.10758865],[0.14125606],[0.08267084]
[0.10782506],[0.1415445],[0.08253148]
[0.10806124],[0.14183254],[0.08239248]
[0.10829718],[0.14212016],[0.08225382]
[0.10853287],[0.14240736],[0.08211552]
[0.10876833],[0.14269416],[0.08197756]
[0.10900355],[0.14298054],[0.08183996]
[0.10923854],[0.14326652],[0.0817027]
[0.10947328],[0.14355208],[0.08156579]
[0.10970779],[0.14383724],[0.08142922]
[0.10994206],[0.14412198],[0.081293]
[0.11017609],[0.14440632],[0.08115712]
[0.11040988],[0.14469025],[0.08102159]
[0.11064344],[0.14497378],[0.0808864]
[0.11087677],[0.14525689],[0.08075155]
[0.11110986],[0.1455396],[0.08061704]
[0.11134271],[0.14582191],[0.08048287]
[0.11157532],[0.14610381],[0.08034904]
[0.11180771],[0.1463853],[0.08021554]
[0.11203985],[0.1466664],[0.08008239]
[0.11227177],[0.14694708],[0.07994956]
[0.11250345],[0.14722737],[0.07981708]
[0.11273489],[0.14750725],[0.07968493]
[0.11296611],[0.14778673],[0.07955311]
[0.11319708],[0.14806581],[0.07942162]
[0.11342783],[0.14834449],[0.07929047]
[0.11365834],[0.14862277],[0.07915965]
[0.11388863],[0.14890064],[0.07902915]
[0.11411868],[0.14917812],[0.07889899]
[0.11434849],[0.1494552],[0.07876915]
[0.11457808],[0.14973189],[0.07863965]
[0.11480744],[0.15000817],[0.07851047]
[0.11503656],[0.15028406],[0.07838161]
[0.11526546],[0.15055955],[0.07825308]
[0.11549412],[0.15083464],[0.07812487]
[0.11572256],[0.15110934],[0.07799699]
[0.11595076],[0.15138364],[0.07786943]
[0.11617874],[0.15165755],[0.07774219]
[0.11640649],[0.15193107],[0.07761527]
[0.11663401],[0.15220419],[0.07748867]
[0.1168613],[0.15247691],[0.07736239]
[0.11708836],[0.15274925],[0.07723643]
[0.11731519],[0.15302119],[0.07711078]
[0.1175418],[0.15329274],[0.07698545]
[0.11776818],[0.1535639],[0.07686044]
[0.11799433],[0.15383467],[0.07673574]
[0.11822026],[0.15410505],[0.07661136]
[0.11844596],[0.15437505],[0.07648729]
[0.11867143],[0.15464465],[0.07636353]
[0.11889668],[0.15491386],[0.07624009]
